record_id,tier,tier_name,status,reason,reason_label,fee_type,expected,received,delta,amount_at_risk,priority,explanation,matched_settlement,age_days,ai_assisted,confidence,ai_evidence,ai_recommendation,candidates
ORD-00093,3,Variance - AI diagnostic,MANUAL_REVIEW,R5_AI_VARIANCE,Large variance flagged by AI,,1899.00,2088.90,189.90,189.90,Low,Received Rs 189.90 more than the order value (10.0% over) on a matched reference. Overpayment of this shape is usually a duplicate capture or a misapplied credit. Route to gateway ops.,STL-00093,12.0,True,,[],,[]
ORD-00050,3,Variance - AI diagnostic,MANUAL_REVIEW,R4_PARTIAL_PAYMENT,Partial payment,,599.50,449.63,-149.87,149.87,Low,"Settled Rs 149.87 short, 25.0% of order value. Far outside the Rs 11.99 fee band. Shape is consistent with a refund or chargeback netted off the same reference. Verify before clearing.",STL-00050,17.0,True,,[],,[]
ORD-00053,4,UTR fallback match,MANUAL_REVIEW,R4_PARTIAL_PAYMENT,Partial payment,,599.00,461.25,-137.75,137.75,Low,"COD remittance is Rs 137.75 short (23.0% of order value), beyond the Rs 50.00 collection-fee band for this order. Not explainable as a standard courier fee; raise with the courier.",STL-00053,15.0,True,,[],,[]
ORD-00032,3,Variance - AI diagnostic,MANUAL_REVIEW,R5_AI_VARIANCE,Large variance flagged by AI,,1249.99,1203.33,-46.66,46.66,Low,"Deduction of Rs 46.66 (3.73%) exceeds the contracted Rs 24.99 band for this payment mode. Small enough to look like a fee, large enough that it is not the agreed one. Check the MDR schedule for this transaction type.",STL-00032,23.0,True,,[],,[]
ORD-00068,3,Variance - AI diagnostic,MANUAL_REVIEW,R5_AI_VARIANCE,Large variance flagged by AI,,899.50,862.98,-36.52,36.52,Low,"Deduction of Rs 36.52 (4.06%) exceeds the contracted Rs 17.99 band for this payment mode. Small enough to look like a fee, large enough that it is not the agreed one. Check the MDR schedule for this transaction type.",STL-00068,30.0,True,,[],,[]
ORD-00052,3,Variance - AI diagnostic,MANUAL_REVIEW,R5_AI_VARIANCE,Large variance flagged by AI,,599.50,580.29,-19.21,19.21,Low,"Deduction of Rs 19.21 (3.20%) exceeds the contracted Rs 11.99 band for this payment mode. Small enough to look like a fee, large enough that it is not the agreed one. Check the MDR schedule for this transaction type.",STL-00052,9.0,True,,[],,[]
ORD-00001,1,Exact match,AUTO_CLEARED,,,,1249.00,1249.00,0.00,0.00,,Matched on pay_000001F; amount identical to the paise.,STL-00001,28.0,False,,[],,[]
ORD-00003,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,9999.00,9997.00,-2.00,0.00,,"Short by Rs 2.00, inside the Rs 199.98 gateway fee band for this order.",STL-00003,15.0,False,,[],,[]
ORD-00005,0,COD timing pre-check,AWAITING_REMITTANCE,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,899.99,0.00,0.00,0.00,,"COD order placed 0 days ago, inside the normal 0-14 day collection window. No action needed.",,0.0,False,,[],,[]
ORD-00006,0,COD timing pre-check,APPROACHING_THRESHOLD,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,599.00,0.00,0.00,0.00,,"COD order placed 10 days ago, inside the normal 0-14 day collection window. No action needed.",,10.0,False,,[],,[]
ORD-00007,1,Exact match,AUTO_CLEARED,,,,9999.99,9999.99,0.00,0.00,,Matched on pay_000007A; amount identical to the paise.,STL-00007,16.0,False,,[],,[]
ORD-00009,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,599.50,591.02,-8.48,0.00,,"Short by Rs 8.48, inside the Rs 11.99 gateway fee band for this order.",STL-00009,21.0,False,,[],,[]
ORD-00010,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,899.99,897.99,-2.00,0.00,,"Short by Rs 2.00, inside the Rs 17.99 gateway fee band for this order.",STL-00010,27.0,False,,[],,[]
ORD-00011,1,Exact match,AUTO_CLEARED,,,,9999.50,9999.50,0.00,0.00,,Matched on pay_000011A; amount identical to the paise.,STL-00011,15.0,False,,[],,[]
ORD-00012,0,COD timing pre-check,AWAITING_REMITTANCE,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,3999.00,0.00,0.00,0.00,,"COD order placed 2 days ago, inside the normal 0-14 day collection window. No action needed.",,2.0,False,,[],,[]
ORD-00015,1,Exact match,AUTO_CLEARED,,,,6499.99,6499.99,0.00,0.00,,Matched on pay_000015E; amount identical to the paise.,STL-00015,26.0,False,,[],,[]
ORD-00017,1,Exact match,AUTO_CLEARED,,,,3999.99,3999.99,0.00,0.00,,Matched on pay_000017F; amount identical to the paise.,STL-00017,20.0,False,,[],,[]
ORD-00018,1,Exact match,AUTO_CLEARED,,,,899.50,899.50,0.00,0.00,,Matched on pay_000018C; amount identical to the paise.,STL-00018,27.0,False,,[],,[]
ORD-00019,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,2499.50,2464.12,-35.38,0.00,,"Short by Rs 35.38, inside the Rs 49.99 gateway fee band for this order.",STL-00019,19.0,False,,[],,[]
ORD-00020,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,599.99,549.99,-50.00,0.00,,"Short by Rs 50.00, inside the Rs 50.00 COD collection fee band for this order.",STL-00020,22.0,False,,[],,[]
ORD-00021,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,6499.99,6407.97,-92.02,0.00,,"Short by Rs 92.02, inside the Rs 129.99 gateway fee band for this order.",STL-00021,23.0,False,,[],,[]
ORD-00022,4,UTR fallback match,AUTO_CLEARED,,,,899.99,899.99,0.00,0.00,,Matched on UTR000400022; amount identical to the paise.,STL-00022,25.0,False,,[],,[]
ORD-00023,1,Exact match,AUTO_CLEARED,,,,6499.00,6499.00,0.00,0.00,,Matched on pay_000023D; amount identical to the paise.,STL-00023,3.0,False,,[],,[]
ORD-00025,4,UTR fallback match,AUTO_CLEARED,,,,899.00,899.00,0.00,0.00,,Matched on UTR000400025; amount identical to the paise.,STL-00025,26.0,False,,[],,[]
ORD-00026,1,Exact match,AUTO_CLEARED,,,,599.00,599.00,0.00,0.00,,Matched on pay_000026A; amount identical to the paise.,STL-00026,7.0,False,,[],,[]
ORD-00027,4,UTR fallback match,AUTO_CLEARED,,,,2499.99,2499.99,0.00,0.00,,Matched on UTR000400027; amount identical to the paise.,STL-00027,26.0,False,,[],,[]
ORD-00028,0,COD timing pre-check,AWAITING_REMITTANCE,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,6499.99,0.00,0.00,0.00,,"COD order placed 3 days ago, inside the normal 0-14 day collection window. No action needed.",,3.0,False,,[],,[]
ORD-00029,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,9999.99,9823.01,-176.98,0.00,,"Short by Rs 176.98, inside the Rs 199.99 gateway fee band for this order.",STL-00029,15.0,False,,[],,[]
ORD-00030,4,UTR fallback match,AUTO_CLEARED,,,,2499.50,2499.50,0.00,0.00,,Matched on UTR000400030; amount identical to the paise.,STL-00030,15.0,False,,[],,[]
ORD-00031,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,2499.50,2459.50,-40.00,0.00,,"Short by Rs 40.00, inside the Rs 62.48 COD collection fee band for this order.",STL-00031,22.0,False,,[],,[]
ORD-00033,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,1249.00,1226.90,-22.10,0.00,,"Short by Rs 22.10, inside the Rs 24.98 gateway fee band for this order.",STL-00033,3.0,False,,[],,[]
ORD-00034,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,899.00,883.10,-15.90,0.00,,"Short by Rs 15.90, inside the Rs 17.98 gateway fee band for this order.",STL-00034,24.0,False,,[],,[]
ORD-00035,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,899.50,874.50,-25.00,0.00,,"Short by Rs 25.00, inside the Rs 50.00 COD collection fee band for this order.",STL-00035,17.0,False,,[],,[]
ORD-00036,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,899.00,886.28,-12.72,0.00,,"Short by Rs 12.72, inside the Rs 17.98 gateway fee band for this order.",STL-00036,5.0,False,,[],,[]
ORD-00037,0,COD timing pre-check,AWAITING_REMITTANCE,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,1899.00,0.00,0.00,0.00,,"COD order placed 5 days ago, inside the normal 0-14 day collection window. No action needed.",,5.0,False,,[],,[]
ORD-00038,4,UTR fallback match,AUTO_CLEARED,,,,6499.50,6499.50,0.00,0.00,,Matched on UTR000400038; amount identical to the paise.,STL-00038,30.0,False,,[],,[]
ORD-00040,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,599.00,588.41,-10.59,0.00,,"Short by Rs 10.59, inside the Rs 11.98 gateway fee band for this order.",STL-00040,26.0,False,,[],,[]
ORD-00041,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,2499.50,2455.27,-44.23,0.00,,"Short by Rs 44.23, inside the Rs 49.99 gateway fee band for this order.",STL-00041,30.0,False,,[],,[]
ORD-00042,4,UTR fallback match,AUTO_CLEARED,,,,3999.99,3999.99,0.00,0.00,,Matched on UTR000400042; amount identical to the paise.,STL-00042,23.0,False,,[],,[]
ORD-00043,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,6499.99,6384.96,-115.03,0.00,,"Short by Rs 115.03, inside the Rs 129.99 gateway fee band for this order.",STL-00043,28.0,False,,[],,[]
ORD-00044,1,Exact match,AUTO_CLEARED,,,,6499.50,6499.50,0.00,0.00,,Matched on pay_000044D; amount identical to the paise.,STL-00044,10.0,False,,[],,[]
ORD-00045,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,349.50,347.00,-2.50,0.00,,"Short by Rs 2.50, inside the Rs 6.99 gateway fee band for this order.",STL-00045,6.0,False,,[],,[]
ORD-00046,1,Exact match,AUTO_CLEARED,,,,2499.00,2499.00,0.00,0.00,,Matched on pay_000046B; amount identical to the paise.,STL-00046,10.0,False,,[],,[]
ORD-00047,1,Exact match,AUTO_CLEARED,,,,1249.99,1249.99,0.00,0.00,,Matched on pay_000047A; amount identical to the paise.,STL-00047,4.0,False,,[],,[]
ORD-00048,1,Exact match,AUTO_CLEARED,,,,2499.00,2499.00,0.00,0.00,,Matched on pay_000048B; amount identical to the paise.,STL-00048,30.0,False,,[],,[]
ORD-00054,1,Exact match,AUTO_CLEARED,,,,2499.50,2499.50,0.00,0.00,,Matched on pay_000054D; amount identical to the paise.,STL-00054,6.0,False,,[],,[]
ORD-00055,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,9999.00,9979.00,-20.00,0.00,,"Short by Rs 20.00, inside the Rs 249.97 COD collection fee band for this order.",STL-00055,15.0,False,,[],,[]
ORD-00056,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,1899.99,1873.10,-26.89,0.00,,"Short by Rs 26.89, inside the Rs 37.99 gateway fee band for this order.",STL-00056,3.0,False,,[],,[]
ORD-00057,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,9999.50,9949.50,-50.00,0.00,,"Short by Rs 50.00, inside the Rs 249.98 COD collection fee band for this order.",STL-00057,18.0,False,,[],,[]
ORD-00058,0,COD timing pre-check,APPROACHING_THRESHOLD,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,6499.99,0.00,0.00,0.00,,"COD order placed 9 days ago, inside the normal 0-14 day collection window. No action needed.",,9.0,False,,[],,[]
ORD-00059,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,1899.50,1877.10,-22.40,0.00,,"Short by Rs 22.40, inside the Rs 37.99 gateway fee band for this order.",STL-00059,5.0,False,,[],,[]
ORD-00060,1,Exact match,AUTO_CLEARED,,,,3999.50,3999.50,0.00,0.00,,Matched on pay_000060A; amount identical to the paise.,STL-00060,28.0,False,,[],,[]
ORD-00061,4,UTR fallback match,AUTO_CLEARED,,,,899.00,899.00,0.00,0.00,,Matched on UTR000400061; amount identical to the paise.,STL-00061,27.0,False,,[],,[]
ORD-00062,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,2499.99,2455.76,-44.23,0.00,,"Short by Rs 44.23, inside the Rs 49.99 gateway fee band for this order.",STL-00062,3.0,False,,[],,[]
ORD-00063,4,UTR fallback match,AUTO_CLEARED,,,,349.50,349.50,0.00,0.00,,Matched on UTR000400063; amount identical to the paise.,STL-00063,26.0,False,,[],,[]
ORD-00064,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,1899.00,1896.50,-2.50,0.00,,"Short by Rs 2.50, inside the Rs 37.98 gateway fee band for this order.",STL-00064,10.0,False,,[],,[]
ORD-00065,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,349.00,329.00,-20.00,0.00,,"Short by Rs 20.00, inside the Rs 50.00 COD collection fee band for this order.",STL-00065,15.0,False,,[],,[]
ORD-00066,4,UTR fallback match,AUTO_CLEARED,,,,1899.00,1899.00,0.00,0.00,,Matched on UTR000400066; amount identical to the paise.,STL-00066,15.0,False,,[],,[]
ORD-00067,1,Exact match,AUTO_CLEARED,,,,1249.99,1249.99,0.00,0.00,,Matched on pay_000067C; amount identical to the paise.,STL-00067,18.0,False,,[],,[]
ORD-00069,1,Exact match,AUTO_CLEARED,,,,2499.00,2499.00,0.00,0.00,,Matched on pay_000069F; amount identical to the paise.,STL-00069,13.0,False,,[],,[]
ORD-00070,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,6499.99,6384.96,-115.03,0.00,,"Short by Rs 115.03, inside the Rs 129.99 gateway fee band for this order.",STL-00070,20.0,False,,[],,[]
ORD-00071,1,Exact match,AUTO_CLEARED,,,,3999.99,3999.99,0.00,0.00,,Matched on pay_000071B; amount identical to the paise.,STL-00071,6.0,False,,[],,[]
ORD-00072,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,9999.00,9997.00,-2.00,0.00,,"Short by Rs 2.00, inside the Rs 199.98 gateway fee band for this order.",STL-00072,25.0,False,,[],,[]
ORD-00073,1,Exact match,AUTO_CLEARED,,,,9999.99,9999.99,0.00,0.00,,Matched on pay_000073C; amount identical to the paise.,STL-00073,30.0,False,,[],,[]
ORD-00074,0,COD timing pre-check,APPROACHING_THRESHOLD,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,1249.99,0.00,0.00,0.00,,"COD order placed 13 days ago, inside the normal 0-14 day collection window. No action needed.",,13.0,False,,[],,[]
ORD-00075,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,349.00,344.07,-4.93,0.00,,"Short by Rs 4.93, inside the Rs 6.98 gateway fee band for this order.",STL-00075,26.0,False,,[],,[]
ORD-00076,4,UTR fallback match,AUTO_CLEARED,,,,2499.50,2499.50,0.00,0.00,,Matched on UTR000400076; amount identical to the paise.,STL-00076,4.0,False,,[],,[]
ORD-00077,1,Exact match,AUTO_CLEARED,,,,1249.99,1249.99,0.00,0.00,,Matched on pay_000077B; amount identical to the paise.,STL-00077,5.0,False,,[],,[]
ORD-00080,1,Exact match,AUTO_CLEARED,,,,6499.00,6499.00,0.00,0.00,,Matched on pay_000080C; amount identical to the paise.,STL-00080,12.0,False,,[],,[]
ORD-00081,1,Exact match,AUTO_CLEARED,,,,9999.00,9999.00,0.00,0.00,,Matched on pay_000081A; amount identical to the paise.,STL-00081,18.0,False,,[],,[]
ORD-00082,1,Exact match,AUTO_CLEARED,,,,2499.50,2499.50,0.00,0.00,,Matched on pay_000082B; amount identical to the paise.,STL-00082,27.0,False,,[],,[]
ORD-00083,1,Exact match,AUTO_CLEARED,,,,9999.00,9999.00,0.00,0.00,,Matched on pay_000083D; amount identical to the paise.,STL-00083,20.0,False,,[],,[]
ORD-00084,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,899.50,869.50,-30.00,0.00,,"Short by Rs 30.00, inside the Rs 50.00 COD collection fee band for this order.",STL-00084,30.0,False,,[],,[]
ORD-00085,1,Exact match,AUTO_CLEARED,,,,1899.50,1899.50,0.00,0.00,,Matched on pay_000085A; amount identical to the paise.,STL-00085,28.0,False,,[],,[]
ORD-00086,1,Exact match,AUTO_CLEARED,,,,899.99,899.99,0.00,0.00,,Matched on pay_000086A; amount identical to the paise.,STL-00086,22.0,False,,[],,[]
ORD-00087,1,Exact match,AUTO_CLEARED,,,,899.99,899.99,0.00,0.00,,Matched on pay_000087F; amount identical to the paise.,STL-00087,29.0,False,,[],,[]
ORD-00088,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,1249.50,1227.39,-22.11,0.00,,"Short by Rs 22.11, inside the Rs 24.99 gateway fee band for this order.",STL-00088,21.0,False,,[],,[]
ORD-00089,1,Exact match,AUTO_CLEARED,,,,599.00,599.00,0.00,0.00,,Matched on pay_000089B; amount identical to the paise.,STL-00089,6.0,False,,[],,[]
ORD-00090,1,Exact match,AUTO_CLEARED,,,,899.00,899.00,0.00,0.00,,Matched on pay_000090E; amount identical to the paise.,STL-00090,11.0,False,,[],,[]
ORD-00091,0,COD timing pre-check,AWAITING_REMITTANCE,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,899.00,0.00,0.00,0.00,,"COD order placed 0 days ago, inside the normal 0-14 day collection window. No action needed.",,0.0,False,,[],,[]
ORD-00092,1,Exact match,AUTO_CLEARED,,,,1249.99,1249.99,0.00,0.00,,Matched on pay_000092E; amount identical to the paise.,STL-00092,15.0,False,,[],,[]
ORD-00094,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,1249.50,1227.39,-22.11,0.00,,"Short by Rs 22.11, inside the Rs 24.99 gateway fee band for this order.",STL-00094,25.0,False,,[],,[]
ORD-00095,4,UTR fallback match,AUTO_CLEARED,,,,3999.00,3999.00,0.00,0.00,,Matched on UTR000400095; amount identical to the paise.,STL-00095,16.0,False,,[],,[]
ORD-00096,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,1249.00,1224.00,-25.00,0.00,,"Short by Rs 25.00, inside the Rs 50.00 COD collection fee band for this order.",STL-00096,17.0,False,,[],,[]
ORD-00098,1,Exact match,AUTO_CLEARED,,,,1899.50,1899.50,0.00,0.00,,Matched on pay_000098D; amount identical to the paise.,STL-00098,31.0,False,,[],,[]
ORD-00099,2,Known deduction,CLEARED_WITH_FEE,,,GATEWAY_FEE,349.00,344.07,-4.93,0.00,,"Short by Rs 4.93, inside the Rs 6.98 gateway fee band for this order.",STL-00099,8.0,False,,[],,[]
ORD-00100,4,UTR fallback match,CLEARED_WITH_FEE,,,COD_COLLECTION_FEE,1249.00,1209.00,-40.00,0.00,,"Short by Rs 40.00, inside the Rs 50.00 COD collection fee band for this order.",STL-00100,19.0,False,,[],,[]
ORD-BULK201,0,COD timing pre-check,APPROACHING_THRESHOLD,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,999.00,0.00,0.00,0.00,,"COD order placed 14 days ago, inside the normal 0-14 day collection window. No action needed.",,14.0,False,,[],,[]
ORD-BULK202,0,COD timing pre-check,APPROACHING_THRESHOLD,R1_AWAITING_REMITTANCE,Awaiting courier remittance,,2499.00,0.00,0.00,0.00,,"COD order placed 14 days ago, inside the normal 0-14 day collection window. No action needed.",,14.0,False,,[],,[]
