settlement_id,settled_on,gateway_ref_id,bank_utr,amount_received,source,narration,batch_id
STL-00035,2026-08-20,,UTR000400035,874.50,BANK,IMPS/BLUEDART/COD-SETL/0035,1
STL-00011,2026-08-18,pay_000011A,UTR000400011,9999.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400011,1
STL-00009,2026-08-12,pay_000009E,UTR000400009,591.02,RAZORPAY,RAZORPAY SETTLEMENT UTR000400009,1
STL-00042,2026-08-15,,UTR000400042,3999.99,BANK,NEFT CR-DELHIVERY COD REMIT-UTR000400042,1
STL-00022,2026-08-10,,UTR000400022,899.99,BANK,NEFT CR-NISHA VERMA-UTR000400022,1
STL-00026,2026-08-26,pay_000026A,UTR000400026,599.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400026,1
STL-00024,2026-08-09,pay_000024C,UTR000400024,2000.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400024,1
STL-00039,2026-08-24,pay_000039C,UTR000400039,10999.45,RAZORPAY,RAZORPAY SETTLEMENT UTR000400039,1
STL-00096,2026-08-27,,UTR000400096,1224.00,BANK,NEFT CR-DELHIVERY COD REMIT-UTR000400096,2
STL-00090,2026-08-22,pay_000090E,UTR000400090,899.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400090,2
STL-00095,2026-08-24,,UTR000400095,3999.00,BANK,RTGS-ECOMEXP-CODCOLL-400095,2
STL-00045,2026-08-27,pay_000045D,UTR000400045,347.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400045,1
STL-00014-D,2026-08-05,pay_000014C,UTR000900014,6499.00,RAZORPAY,RAZORPAY SETTLEMENT REPOST UTR000400014,1
STL-00077,2026-08-29,pay_000077B,UTR000400077,1249.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400077,2
STL-00072,2026-08-08,pay_000072C,UTR000400072,9997.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400072,2
STL-00052,2026-08-24,pay_000052C,UTR000400052,580.29,RAZORPAY,RAZORPAY SETTLEMENT UTR000400052,2
STL-00083,2026-08-13,pay_000083D,UTR000400083,9999.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400083,2
STL-00036,2026-08-28,pay_000036C,UTR000400036,886.28,RAZORPAY,RAZORPAY SETTLEMENT UTR000400036,1
STL-00019,2026-08-14,pay_000019E,UTR000400019,2464.12,RAZORPAY,RAZORPAY SETTLEMENT UTR000400019,1
STL-00061,2026-08-15,,UTR000400061,899.00,BANK,RTGS-ECOMEXP-CODCOLL-400061,2
STL-00054,2026-08-27,pay_000054D,UTR000400054,2499.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400054,2
STL-00059,2026-08-28,pay_000059A,UTR000400059,1877.10,RAZORPAY,RAZORPAY SETTLEMENT UTR000400059,2
STL-00062,2026-08-31,pay_000062E,UTR000400062,2455.76,RAZORPAY,RAZORPAY SETTLEMENT UTR000400062,2
STL-00068,2026-08-04,pay_000068E,UTR000400068,862.98,RAZORPAY,RAZORPAY SETTLEMENT UTR000400068,2
STL-00060,2026-08-05,pay_000060A,UTR000400060,3999.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400060,2
STL-00029,2026-08-19,pay_000029F,UTR000400029,9823.01,RAZORPAY,RAZORPAY SETTLEMENT UTR000400029,1
STL-00021,2026-08-11,pay_000021F,UTR000400021,6407.97,RAZORPAY,RAZORPAY SETTLEMENT UTR000400021,1
STL-00020,2026-08-13,,UTR000400020,549.99,BANK,RTGS-ECOMEXP-CODCOLL-400020,1
STL-SHADOW01,2026-08-29,pay_shadow1536A,UTR000800001,1249.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000800001,1
STL-00099,2026-08-25,pay_000099D,UTR000400099,344.07,RAZORPAY,RAZORPAY SETTLEMENT UTR000400099,2
STL-00069,2026-08-20,pay_000069F,UTR000400069,2499.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400069,2
STL-00017,2026-08-13,pay_000017F,UTR000400017,3999.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400017,1
STL-00080,2026-08-21,pay_000080C,UTR000400080,6499.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400080,2
STL-00003,2026-08-19,pay_000003C,UTR000400003,9997.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400003,1
STL-00048,2026-08-03,pay_000048B,UTR000400048,2499.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400048,1
STL-X1002,2026-08-28,,UTR000700102,5764.00,BANK,NEFT CR-UNKNOWN REMITTER-UTR000700102,1
STL-00081,2026-08-16,pay_000081A,UTR000400081,9999.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400081,2
STL-00038,2026-08-10,,UTR000400038,6499.50,BANK,NEFT CR 000400038 XXXXX,1
STL-00033,2026-08-30,pay_000033A,UTR000400033,1226.90,RAZORPAY,RAZORPAY SETTLEMENT UTR000400033,1
STL-00050,2026-08-17,pay_000050D,UTR000400050,449.63,RAZORPAY,RAZORPAY SETTLEMENT UTR000400050,1
STL-00031,2026-08-19,,UTR000400031,2459.50,BANK,NEFT CR-DELHIVERY COD REMIT-UTR000400031,1
STL-00032,2026-08-10,pay_000032F,UTR000400032,1203.33,RAZORPAY,RAZORPAY SETTLEMENT UTR000400032,1
STL-00001,2026-08-05,pay_000001F,UTR000400001,1249.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400001,1
STL-SHADOW02,2026-08-03,pay_shadow2863A,UTR000800002,9999.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000800002,2
STL-00015,2026-08-07,pay_000015E,UTR000400015,6499.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400015,1
STL-00046,2026-08-23,pay_000046B,UTR000400046,2499.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400046,1
STL-00018,2026-08-06,pay_000018C,UTR000400018,899.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400018,1
STL-00100,2026-08-25,,UTR000400100,1209.00,BANK,RTGS-ECOMEXP-CODCOLL-400100,2
STL-00016,2026-08-05,,UTR000400016,2231.63,BANK,RTGS-ECOMEXP-CODCOLL-400016,1
